,ncaa_name,bd_name_x,school_id,division_x,hitting,H9_x,BB9_x,2B-A9_x,3B-A9_x,HR-A9_x,SO9_x,SHA9_x,SFA9_x,GO9_x,FO9_x,RBI9_x,HitValue,bd_name_y,division_y,pitching,H9_y,BB9_y,2B-A9_y,3B-A9_y,HR-A9_y,SO9_y,SHA9_y,SFA9_y,GO9_y,FO9_y,RBI9_y,PitchValue,NetValue,RankDate
241,SIUE,Southern Illinois-Edwardsville,660,1,,,,,,,,,,,,,0.0,Southern Illinois-Edwardsville,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
240,Southern Ill.,Southern Illinois,659,1,,,,,,,,,,,,,0.0,Southern Illinois,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
239,Southern California,Southern California,657,1,,,,,,,,,,,,,0.0,Southern California,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
238,Southern U.,Southern,665,1,665.0,,,,,,,,,,,,0.0,Southern,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
236,Southeast Mo. St.,Southeast Missouri State,654,1,,,,,,,,,,,,,0.0,Southeast Missouri State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
235,South Fla.,South Florida,651,1,,,,,,,,,,,,,0.0,South Florida,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
234,South Dakota St.,South Dakota State,649,1,,,,,,,,,,,,,0.0,South Dakota State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
233,USC Upstate,South Carolina-Upstate,10411,1,,,,,,,,,,,,,0.0,South Carolina-Upstate,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
250,SFA,Stephen F. Austin State,676,1,,,,,,,,,,,,,0.0,Stephen F. Austin State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
252,Stony Brook,Stony Brook,683,1,,,,,,,,,,,,,0.0,Stony Brook,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
270,Towson,Towson,711,1,,,,,,,,,,,,,0.0,Towson,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
253,Tarleton St.,Tarleton State,1395,1,,,,,,,,,,,,,0.0,Tarleton State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
269,Toledo,Toledo,709,1,,,,,,,,,,,,,0.0,Toledo,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
268,The Citadel,The Citadel,141,1,,,,,,,,,,,,,0.0,The Citadel,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
267,UTSA,Texas-San Antonio,706,1,,,,,,,,,,,,,0.0,Texas-San Antonio,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
266,UTRGV,Texas-Rio Grande Valley,536,1,,,,,,,,,,,,,0.0,Texas-Rio Grande Valley,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
